typeName,blueprintTypeID,productTypeID,description,researchProductivityTime,researchMaterialTime,researchCopyTime,researchTechTime
Carbonized Lead S,879,178,"Small Projectile Ammo. This ammo uses a simple lead slug encased in a hard shell of crystalline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem. 

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Nuclear S,880,179,"Small Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space.

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Proton S,881,180,"Small Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor.

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Depleted Uranium S,882,181,"Small projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead. 

20% tracking speed bonus.",6000,6000,6000,4500
Titanium Sabot S,883,182,"Small Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure.

20% increased tracking speed.",6000,6000,6000,4500
Fusion S,884,183,"Small Projectile Ammo. The destructive power of a fusion warhead is superior to most other projectile warheads available, although it has problems penetrating heavy shield systems.

50% reduced optimal range.",6000,6000,6000,4500
Phased Plasma S,885,184,Small Projectile Ammo. This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell.

50% reduced optimal range.,6000,6000,6000,4500
EMP S,886,185,"Small projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields.

50% reduced optimal range.",6000,6000,6000,4500
Carbonized Lead M,887,186,"Medium Projectile Ammo. This ammo uses a simple lead slug encased in a hard shell of crystalline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem.

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Nuclear M,888,187,"Medium Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space.

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Proton M,889,188,"Medium Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor.

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Depleted Uranium M,890,189,"Medium Projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead.

20% tracking speed bonus.",6000,6000,6000,4500
Titanium Sabot M,891,190,"Medium Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure.

20% increased tracking speed.",6000,6000,6000,4500
Fusion M,892,191,"Medium Projectile Ammo. The destructive power of a fusion warhead is superior to most other projectile warheads available, although it has problems penetrating heavy shield systems.

50% reduced optimal range.",6000,6000,6000,4500
Phased Plasma M,893,192,Medium Projectile Ammo. This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell.

50% reduced optimal range.,6000,6000,6000,4500
EMP M,894,193,"Medium Projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields.

50% reduced optimal range.",6000,6000,6000,4500
Carbonized Lead L,895,194,"Large Projectile Ammo. This ammo uses a simple lead slug encased in a hard shell of crystalline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem.

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Nuclear L,896,195,"Large Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space.

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Proton L,897,196,"Large Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor.

60% increased optimal range.
5% increased tracking speed.",6000,6000,6000,4500
Depleted Uranium L,898,197,"Large Projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead.

20% tracking speed bonus.",6000,6000,6000,4500
Titanium Sabot L,899,198,"Large Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure.

20% increased tracking speed.",6000,6000,6000,4500
Fusion L,900,199,"Large Projectile Ammo. The destructive power of a fusion warhead is superior to most other projectile warheads available, although it has problems penetrating heavy shield systems.

50% reduced optimal range.",6000,6000,6000,4500
Phased Plasma L,901,200,Large Projectile Ammo. This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell.

50% reduced optimal range.,6000,6000,6000,4500
EMP L,902,201,"Large Projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields.

50% reduced optimal range.",6000,6000,6000,4500
Mjolnir Cruise Missile,803,202,"The mother of all missiles, the Mjolnir cruise missile delivers a tremendous payload, guaranteed to get its victims acquainted with their personal god in a quick, but painful manner.",6000,6000,6000,4500
Scourge Cruise Missile,804,203,"The first Minmatar-made large missile. Constructed of reactionary alloys, the Scourge cruise missile is built to get to the target. Guidance and propulsion systems are of Gallente origin and were initially used in drones, making this a nimble projectile despite its heavy payload.",6000,6000,6000,4500
